selection,director,year_rev,voter,voter_url,voter_role,voter_critic_or_director,voter_country
L' Amour Fou,Jacques Rivette,1968,A. S. Hamrah,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/a-s-hamrah,"Critic, The Baffler, n+1",critic,USA
The Killing Of A Chinese Bookie,John Cassavetes,1976,A. S. Hamrah,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/a-s-hamrah,"Critic, The Baffler, n+1",critic,USA
News From Home,Chantal Akerman,1976,A. S. Hamrah,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/a-s-hamrah,"Critic, The Baffler, n+1",critic,USA
Taste Of Cherry,Abbas Kiarostami,1997,A. S. Hamrah,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/a-s-hamrah,"Critic, The Baffler, n+1",critic,USA
Wanda,Barbara Loden,1970,A. S. Hamrah,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/a-s-hamrah,"Critic, The Baffler, n+1",critic,USA
Blue Velvet,David Lynch,1986,A. S. Hamrah,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/a-s-hamrah,"Critic, The Baffler, n+1",critic,USA
The Birds,Alfred Hitchcock,1963,A. S. Hamrah,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/a-s-hamrah,"Critic, The Baffler, n+1",critic,USA
Two-Lane Blacktop,Monte Hellman,1971,A. S. Hamrah,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/a-s-hamrah,"Critic, The Baffler, n+1",critic,USA
Artists And Models,Frank Tashlin,1955,A. S. Hamrah,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/a-s-hamrah,"Critic, The Baffler, n+1",critic,USA
La Cérémonie,Claude Chabrol,1995,A. S. Hamrah,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/a-s-hamrah,"Critic, The Baffler, n+1",critic,USA
Opção As Rosas Da Estrada,Ozualdo Candeias,1981,Aaron Cutler,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/aaron-cutler,Programmer / critic,critic,USA/Brazil
Astenichesky Sindrom,Kira Muratova,1990,Aaron Cutler,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/aaron-cutler,Programmer / critic,critic,USA/Brazil
Battling Butler,Buster Keaton,1926,Aaron Cutler,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/aaron-cutler,Programmer / critic,critic,USA/Brazil
Casque D'or,Jacques Becker,1952,Aaron Cutler,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/aaron-cutler,Programmer / critic,critic,USA/Brazil
Dodes'ka-Den,Akira Kurosawa,1970,Aaron Cutler,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/aaron-cutler,Programmer / critic,critic,USA/Brazil
Ganga Bruta,Humberto Mauro,1933,Aaron Cutler,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/aaron-cutler,Programmer / critic,critic,USA/Brazil
Hyènes,Djibril Diop Mambéty,1992,Aaron Cutler,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/aaron-cutler,Programmer / critic,critic,USA/Brazil
In The Stone House,Jerome Hiler,2012,Aaron Cutler,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/aaron-cutler,Programmer / critic,critic,USA/Brazil
Passacaglia Y Fuga,Jorge Honik,1975,Aaron Cutler,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/aaron-cutler,Programmer / critic,critic,USA/Brazil
Sweet Movie,Dusan Makavejev,1973,Aaron Cutler,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/aaron-cutler,Programmer / critic,critic,USA/Brazil
Sunrise: A Song Of Two Humans,F.W. Murnau,1927,Aaron Schimberg,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/aaron-schimberg,Filmmaker,director,USA
